,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,lat,lng
0,China,80824,+11,3189.0,13.0,65573.0,12062,3610.0,56.2,36.567348398000036,103.93002703300004
1,Italy,17660,,1266.0,,1439.0,14955,1328.0,292.1,42.833330000000046,12.833330000000046
2,Iran,12729,"+1,365",611.0,97.0,4339.0,7779,,151.5,32.55801995200005,54.305910263000044
3,S. Korea,8086,+107,72.0,5.0,714.0,7300,59.0,157.7,36.35627096300004,127.80639593300009
4,Spain,6043,+811,191.0,58.0,517.0,5335,293.0,129.2,40.227949660000036,-3.6460631049999392
5,Germany,4181,+506,8.0,,46.0,4127,9.0,49.9,51.11063104900006,10.39227793200007
6,France,3661,,79.0,,12.0,3570,154.0,56.1,46.55941704400004,2.5505399530000545
7,USA,2499,+252,51.0,2.0,49.0,2399,10.0,7.5,39.39870315600007,-99.41461918999994
8,Switzerland,1375,+236,13.0,2.0,4.0,1358,,158.9,46.79981744200006,8.245024096000066
9,UK,1140,+342,21.0,10.0,18.0,1101,20.0,16.8,53.40838660500003,-1.9695595439999352
10,Norway,1052,+56,2.0,1.0,1.0,1049,27.0,194.1,62.00000000000006,10.000000000000057
11,Sweden,961,+147,2.0,1.0,1.0,958,2.0,95.2,64.71258554700006,17.260487956000077
12,Netherlands,959,+155,12.0,2.0,2.0,945,45.0,56.0,52.24937529300007,5.616126398000063
13,Denmark,827,+23,1.0,1.0,1.0,825,2.0,142.8,55.959300779000046,10.053934054000024
14,Japan,804,+70,22.0,1.0,122.0,660,35.0,6.4,36.655226998000046,139.27149500000007
15,Diamond Princess,696,,7.0,,325.0,364,32.0,,12.24816997388791,109.19641996335635
16,Belgium,689,+130,4.0,1.0,1.0,684,24.0,59.4,50.640682937000065,4.661070427000027
17,Austria,655,+151,1.0,,6.0,648,1.0,72.7,47.58581000500004,14.137076948000072
18,Qatar,337,+17,,,,337,,117.0,25.285444965000067,51.19314832400005
19,Australia,248,+49,3.0,,27.0,218,1.0,9.7,-25.70993156999998,134.48403119800003
20,Malaysia,238,+41,,,35.0,203,4.0,7.4,2.500000000000057,112.50000000000011
21,Canada,225,+27,1.0,,11.0,213,1.0,6.0,60.108670000000075,-113.64257999999995
22,Finland,225,+70,,,1.0,224,,40.6,64.52251280100006,26.158834376000073
23,Singapore,212,+12,,,97.0,115,11.0,36.2,1.3534439970000562,103.81650913600004
24,Bahrain,211,+1,,,60.0,151,1.0,124.0,26.05185877400004,50.564426954000055
25,Greece,190,,3.0,2.0,2.0,185,2.0,18.2,39.00000000000006,22.000000000000057
26,Slovenia,181,+40,,,,181,3.0,87.1,46.119554805000064,14.821760495000035
27,Portugal,169,+57,,,2.0,167,10.0,16.6,39.59313904600003,-8.519812989999934
28,Israel,164,+21,,,4.0,160,3.0,18.9,31.97771151200004,34.97921769200008
29,Iceland,156,+22,,,,156,,,64.98695685900003,-18.582382345999974
30,Brazil,151,,,,1.0,150,2.0,0.7,-10.769946428999958,-53.073466888999974
31,Czechia,150,+9,,,,150,2.0,14.0,49.73885405000004,15.331770120000044
32,Hong Kong,138,+6,4.0,,78.0,56,4.0,18.4,22.364636905000054,114.133395414
33,Philippines,111,+47,8.0,3.0,2.0,101,1.0,1.0,14.164862797000069,120.8616300000001
34,Estonia,109,+30,,,,109,,82.2,58.67204078700007,25.477224001000025
35,Romania,109,+14,,,9.0,100,1.0,5.7,45.845854975000066,24.973472215000072
36,Kuwait,104,+4,,,5.0,99,4.0,24.4,29.355337252000027,47.61216588100007
37,Saudi Arabia,103,+17,,,1.0,102,,3.0,24.12136952900005,44.548827060000065
38,Iraq,101,,10.0,1.0,24.0,67,,2.5,33.03897467000007,43.77717241800008
39,San Marino,101,+21,5.0,,4.0,92,3.0,,43.93817105200003,12.463507795000055
40,India,97,+15,2.0,,10.0,85,,0.1,23.379379735000043,79.44332654800007
41,Indonesia,96,+27,5.0,1.0,8.0,83,,0.4,-0.989818181999965,113.91586500000005
42,Lebanon,93,+16,3.0,,1.0,89,3.0,13.6,33.92144516600007,35.893427744000064
43,Egypt,93,,2.0,,27.0,64,,0.9,26.512273493000066,29.870494860000065
44,Poland,93,+25,2.0,,,91,3.0,2.5,52.12379015400006,19.39876898600005
45,Ireland,90,,1.0,,,89,6.0,18.2,53.17587984600004,-8.14600614699998
46,UAE,85,,,,20.0,65,2.0,8.6,23.914869621000037,54.32685818400006
47,Thailand,82,+7,1.0,,35.0,46,1.0,1.2,15.11680278700004,101.01223920600006
48,Russia,59,+14,,,8.0,51,,0.4,61.989526183000066,96.80537153400007
49,Taiwan,53,+3,1.0,,20.0,32,,2.2,23.752816021000058,120.95346396100001
50,Vietnam,53,+9,,,16.0,37,,0.5,16.166670000000067,107.83333000000005
51,Luxembourg,51,+13,1.0,,,50,,,49.776828429000034,6.092325247000076
52,Slovakia,44,+12,,,,44,,8.1,48.708702079000034,19.48774911000004
53,Chile,43,,,,,43,,2.2,-29.999999999999943,-70.99999999999994
54,Serbia,41,+6,,,,41,1.0,4.7,44.02936463900005,20.804550522000056
55,Albania,38,+5,1.0,,,37,2.0,13.2,41.13455328400005,20.06420643100006
56,Croatia,38,+6,,,1.0,37,,9.3,45.11867958500005,15.435623834000069
57,Peru,38,,,,,38,,1.2,-9.999999999999943,-75.99999999999994
58,South Africa,38,+14,,,,38,,0.6,-28.997182287999976,25.085049940000033
59,Palestine,38,+3,,,,38,,7.4,31.91271978700007,35.204684057000065
60,Algeria,37,+11,3.0,1.0,10.0,24,,0.8,28.144113769000057,2.6799659330000623
61,Bulgaria,37,+6,2.0,1.0,,35,,5.3,42.75500839100005,25.23641224000005
62,Brunei,37,,,,,37,,,4.520762436000041,114.7507502090001
63,Panama,36,+9,1.0,,,35,,8.3,8.939604460000055,-79.97292613699994
64,Argentina,34,,2.0,,,32,1.0,0.8,-35.49575818399995,-65.07154210799996
65,Pakistan,31,+3,,,2.0,29,,0.1,30.314282999000056,70.21010363900007
66,Georgia,30,+5,,,,30,1.0,7.5,32.648324554000055,-83.44453440099994
67,Belarus,27,,,,3.0,24,,2.9,53.542208696000046,28.050095379000027
68,Latvia,26,+9,,,1.0,25,,13.8,56.85460987000005,24.926839006000023
69,Mexico,26,+11,,,4.0,22,1.0,0.2,23.952824990000067,-102.54835341899997
70,Costa Rica,26,+3,,,,26,1.0,5.1,9.972837179000066,-84.19631843899998
71,Hungary,25,+6,,,1.0,24,,2.6,47.16708877000008,19.424531700000045
72,Ecuador,23,,1.0,,,22,1.0,1.3,-1.428836290999925,-78.77523855199996
73,Colombia,22,+6,,,,22,,0.4,3.901115804000028,-73.07575492399997
74,Senegal,21,,,,2.0,19,,1.3,14.363032568000051,-14.459259560999953
75,Cyprus,21,+7,,,,21,,17.4,35.05017430000004,33.22622972400006
76,Oman,19,,,,9.0,10,,3.7,20.59793733300006,56.10497815300005
77,Bosnia and Herzegovina,18,,,,,18,,5.5,44.168254123000054,17.785249916000055
78,Malta,18,+6,,,1.0,17,,,35.92254885600005,14.400072590000036
79,Morocco,17,+10,1.0,,1.0,15,1.0,0.5,32.00000000000006,-4.999999999999943
80,Tunisia,16,,,,,16,2.0,1.4,34.11631798800005,9.60851649600005
81,Azerbaijan,15,,1.0,,3.0,11,,1.5,40.29016196900005,47.52870740700007
82,Armenia,15,+7,,,,15,,5.1,40.293084855000075,44.94022131100007
83,North Macedonia,13,,,,1.0,12,,6.2,41.610741663000056,21.715525897000077
84,Moldova,12,+6,,,,12,,3.0,47.20102827100004,28.46370618900005
85,Afghanistan,11,+4,,,,11,,0.3,33.831137065000064,66.02471179700007
86,Dominican Republic,11,+6,,,,11,,1.0,18.89668483400004,-70.49003617099999
87,Macao,10,,,,10.0,0,,,22.161230275000037,113.56017435000001
88,Sri Lanka,10,+4,,,1.0,9,,0.5,7.617678409000064,80.69863241800005
89,Bolivia,10,,,,,10,,0.9,-16.67085566199995,-64.59749402799997
90,Maldives,10,+1,,,,10,,,4.175240000000031,73.50928000000005
91,Faeroe Islands,9,+6,,,,9,,,62.00000000000006,-6.999999999999943
92,Lithuania,8,+2,,,,8,,2.9,55.33693608100003,23.900396649000072
93,Jamaica,8,,,,,8,,2.7,18.157695292000028,-77.31110640499998
94,Cambodia,7,,,,1.0,6,,0.4,12.708188507000045,104.91471615300009
95,French Guiana,7,+1,,,,7,,,3.921724136000023,-53.23312207499998
96,Paraguay,7,+1,,,,7,1.0,1.0,-23.21981209599994,-58.41066601899996
97,New Zealand,6,,,,,6,,1.2,-42.28723356399996,172.34343250000006
98,Kazakhstan,6,+2,,,,6,,0.3,48.18310616400004,67.19504548200007
99,Martinique,6,+3,,,,6,,,14.653133328000024,-61.01838056199995
100,Bangladesh,5,+2,,,2.0,3,,,23.804670475000023,90.28845390100008
101,Réunion,5,,,,,5,,,-21.133187345999943,55.53244445100006
102,Turkey,5,,,,,5,,0.1,39.066250645000025,35.142286272000035
103,Cuba,4,,,,,4,,0.4,22.000000000000057,-79.49999999999994
104,Liechtenstein,4,,,,,4,,,47.14114224000008,9.553182027000048
105,Uruguay,4,,,,,4,,1.2,-32.79326568999994,-56.02075792399995
106,Ukraine,3,,1.0,,,2,,0.1,49.02689837500003,31.374926053000024
107,Channel Islands,3,,,,,3,,,34.18411000000003,-119.22501999999997
108,French Polynesia,3,,,,,3,,,-17.67739793399994,-149.40097329699998
109,Honduras,3,+1,,,,3,,0.3,14.824173968000025,-86.60026424299997
110,Puerto Rico,3,,,,,3,,1.0,18.22260649800006,-66.46895343099999
111,Monaco,2,,,,,2,,,43.73170451200008,7.424355000000048
112,Nigeria,2,,,,,2,,,9.593696882000074,8.106777828000077
113,Aruba,2,,,,,2,,,12.50908537500004,-69.97050301699994
114,Burkina Faso,2,,,,,2,,0.1,12.286319460000072,-1.7441041949999772
115,Cameroon,2,,,,,2,,0.1,5.672331431000032,12.737869296000042
116,DRC,2,,,,,2,,,-22.329389999999933,-49.08553999999998
117,Ghana,2,,,,,2,,0.1,7.980995107000069,-1.2497723419999716
118,Namibia,2,+2,,,,2,,0.8,-22.138976121999974,17.22149898400005
119,Saint Martin,2,,,,,2,,,18.080477531000042,-63.06021562199999
120,Trinidad and Tobago,2,+1,,,,2,,1.4,10.47267427600002,-61.26048813699998
121,Venezuela,2,,,,,2,,0.1,7.120733800000039,-66.16282028899997
122,Guyana,1,,1.0,,,0,,,4.796422680000035,-58.97538657499996
123,Sudan,1,,1.0,,,0,,,16.053254132000063,30.009189122000066
124,Andorra,1,,,,,1,,,42.54530320100008,1.5762863020000282
125,Jordan,1,,,,1.0,0,,0.1,31.248189480000065,36.78810430300007
126,Nepal,1,,,,1.0,0,,,28.25913770300008,83.94416346900005
127,Antigua and Barbuda,1,,,,,1,,,17.077664637000055,-61.79871012099994
128,Bhutan,1,,,,,1,,,27.41482682700007,90.42623098500007
129,Cayman Islands,1,,,,,1,,,19.31842329500006,-81.24322039299994
130,Ivory Coast,1,,,,,1,,,7.629182541000034,-5.554728587999932
131,Curaçao,1,,,,,1,,,12.193507423000028,-68.97143527599997
132,Ethiopia,1,,,,,1,,,8.619088938000061,39.644750130000034
133,Gabon,1,,,,,1,,0.4,-0.6239040589999263,11.781759891000036
134,Gibraltar,1,,,,1.0,0,,,36.13600766900004,-5.348661838999931
135,Guadeloupe,1,,,,,1,,,16.14475253100005,-61.65011999999996
136,Guatemala,1,,,,,1,,0.1,15.697237961000042,-90.36397945999994
137,Guinea,1,,,,,1,,0.1,10.435445941000069,-10.942500889999963
138,Vatican City,1,,,,,1,,,41.90225000000004,12.45330000000007
139,Kenya,1,,,,,1,,,0.5284306580000475,37.88969855200003
140,Mauritania,1,,,,,1,,0.2,20.25950735200007,-10.331488709999974
141,Mongolia,1,,,,,1,,0.3,46.83469147400007,103.06763313100004
142,Rwanda,1,+1,,,,1,,0.1,-1.9983949569999595,29.956312610000055
143,St. Barth,1,,,,,1,,,17.90280861100007,-62.82979691899993
144,Saint Lucia,1,,,,,1,,,13.898639726000056,-60.967300455999975
145,St. Vincent Grenadines,1,,,,,1,,,13.201840619000052,-61.20075147199998
146,Suriname,1,,,,,1,,,3.9317774090000626,-56.01360780899995
147,Eswatini,1,+1,,,,1,,0.9,-26.56500356099997,31.49799039000004
148,Togo,1,,,,,1,,0.1,8.539049810000051,0.9744440640000676
149,U.S. Virgin Islands,1,+1,,,,1,,,17.728114454000035,-64.81908749999997
150,Total:,150657,5186,5619.0,203.0,73734.0,71304,5731.0,19.3,-8.717599999999948,116.16210000000001
